npsn,nama_sekolah,alamat,jumlah_siswa,jumlah_guru,kepala_sekolah,telepon,kondisi_lingkungan,akreditasi
2.0102474E7,SMP Negeri 265,"Jl. Asem Baris II/10, Kebon Baru T e b e t",840.0,40.0,"H. Taufik, S.Pd, M.M",021- 8302935,Baik,A
2.0100757E7,SMP Negeri 266,"Jl. Cilincing Bakti VI, Cilincing Cilincing",830.0,38.0,"Drs. Sumarno, MM",2.14402745E8,Banjir,A
2.0102473E7,SMP Negeri 267,"Jl. Mairin Swadarma Raya, Ulujami, Pesanggrahan Pesanggrahan",810.0,37.0,"Drs.H.EH.Darmawijaya,SH,M.Si",021-5852291,Baik,A
2.0103572E7,SMP Negeri 268,"Jl. SD Inpres, Kebon Pala Makasar",869.0,46.0,Drs. WASIDI,2.18007517E8,Banjir,A
2.0100253E7,SMP Negeri 269,"Jl. Harapan Mulia, Harapan Mulia Kemayoran",710.0,35.0,SURURI,2.14212795E8,Padat/Kumuh,A
2.0103571E7,SMP Negeri 27,"Jl. LINGKAR KOMP.PTB Duren Sawit, Duren Sawit Duren Sawit",752.0,36.0,"Helia Askarina,S.Si",8615189.0,Baik,A
2.0100742E7,SMP Negeri 270,"Jl. Kompi Udin, Pegangsaan Dua Kelapa Gading",608.0,36.0,Drs. SOLICHIN,4529223.0,Baik,A
2.0101535E7,SMP Negeri 271,"Jl. Pahlawan Sukabumi Sel.VI/F1, Sukabumi Selatan Kebon Jeruk",853.0,41.0,"WARYANTO, S.AB, MM",021-5330627,Padat/Kumuh,A
2.010357E7,SMP Negeri 272,"JL. AL BAIDHO 1, Lubang Buaya Cipayung",749.0,47.0,"Dra. Hj. UMIYATI AS, M.Pd.",2.187791857E9,Baik,A
2.0100255E7,SMP Negeri 273,"Jl. Kampung Bali 24/I, Kampung Bali Tanah Abang",712.0,29.0,"H. Sarbini, S.Pd, MM",3143012.0,Baik,A
2.0101536E7,SMP Negeri 274,"Jl. Empang Bahagia Raya 4B, Jelambar Grogol Petamburan",577.0,29.0,Drs. Sumitra,5684386.0,Banjir,A
2.0103569E7,SMP Negeri 275,"Jl. Jengki Cipinang Asem, Kebon Pala Makasar",852.0,41.0,"SUBAGIYANA, S.Pd",8004083.0,Baik,A
2.0102472E7,SMP Negeri 276,"Jl. Srengseng Sawah, Srengseng Sawah Jagakarsa",609.0,32.0,Drs. Sumantri,7866427.0,Baik,A
2.0100743E7,SMP Negeri 277,"Jl. Sindang Terusan No. 34 A, Rawa Badak Utara K o j a",641.0,28.0,"Drs. SUPRIYO, M.Pd",4.3934526E7,Baik,B
2.0101547E7,SMP Negeri 278,"Jl. Kamal Benda Raya No. 16, Kamal Kalideres",577.0,32.0,SANUSI,021 5557944,Baik,B
2.0100744E7,SMP Negeri 279,"Jl. Mahoni No. 44, Lagoa K o j a",631.0,32.0,NURHASAN RAIS,4.3935194E7,Banjir,A
2.010027E7,SMP Negeri 28,"Jl. Mardani No.17, Johar Baru Johar Baru",726.0,34.0,"SURACHMAN, S.Pd",4246165.0,Banjir,A
2.0112499E7,SMP Negeri 28 Terbuka,"Jl. Mardani No. 17, Johar Baru Johar Baru",95.0,11.0,"Surachman, S.Pd",4246165.0,Banjir,Tidak Terakreditasi
2.0100271E7,SMP Negeri 280,"Jl. Cilacap No. 5, Menteng Menteng",499.0,24.0,"Yayuk Sri Widayanti, M.Pd",021-3155527,Baik,A
2.0103568E7,SMP Negeri 281,"Jl. Kerja Bakti No. 1, Kramat Jati Kramat Jati",998.0,42.0,"Drs. H. Sugiyanto, M.Si",8091021.0,Baik,A
2.0100745E7,SMP Negeri 282,"Jl. Taman Nyiur (BI), Sunter Agung Tanjung Priok",696.0,35.0,Drs. SUJIYONO,021-6505777,Banjir,B
2.0107179E7,SMP Negeri 283,"Jl. Bambu Hitam, Bambu Apus Cipayung",627.0,37.0,"Sulaksono, S.Pd",021 84598876,Baik,A
2.010718E7,SMP Negeri 284,"Jl. Raya Rawa Bebek, Pulo Gebang Cakung",502.0,30.0,"ROMUALDUS LADO, SH, MM",4806031.0,Baik,B
2.0106347E7,SMP Negeri 285,"Jln. Pulau Edam, Pulau Untung Jawa Kepulauan Seribu Selatan",110.0,16.0,"H. MANSUR, M.Pd.",(021)32403951,Baik,A
2.0108854E7,SMP Negeri 286,"JL.RAWA KEPA VIII, Tomang Grogol Petamburan",563.0,26.0,"IIS ABDUL MUIS, S.PD",2.15637038E8,Baik,B
2.0107181E7,SMP Negeri 287,"Jl. Sarbini I, Pinang Ranti Makasar",635.0,36.0,"Drs.JOHAN SUPRIYADI, M.Pd",2.18012287E8,Baik,A
2.0106344E7,SMP Negeri 288,"PULAU LANCANG, Pulau Tidung Kepulauan Seribu Selatan",98.0,13.0,"H. MANSUR, M.Pd",0.0,Baik,A
6.9800097E7,SMP Negeri 289,"Jl. Tipar Cakung, Suka Pura Cilincing",,29.0,M. YUSUP CORUA,2.14408312E8,Baik,Tidak Terakreditasi
2.0102471E7,SMP Negeri 29,"Jl. Bumi Blok E, Gunung Kebayoran Baru",1020.0,42.0,"Dra. Siti Hairunisa, M.Pd",7247493.0,Baik,A
2.010247E7,SMP Negeri 3,"Jl. Manggarai Utara IV/6, Manggarai T e b e t",841.0,41.0,"Subarno, S.Pd. M.M.",8303844.0,Baik,A
2.0100746E7,SMP Negeri 30,"Jl. Anggrek No. 4 Koja, Rawa Badak Utara K o j a",789.0,41.0,Drs Mulyana,( 021 ) 43911051-43931669,Baik,A
2.0102469E7,SMP Negeri 31,"Jl. Peninggaran Barat III, Kebayoran Lama Utara Kebayoran Lama",779.0,41.0,Dra.Erni Sasmita,021-7239730,Banjir,A
2.0101546E7,SMP Negeri 32,"Jl. Pejagalan No. 51, Pekojan Tambora",853.0,42.0,TISNO,(021)6917188,Baik,A
2.0102468E7,SMP Negeri 33,"Jl. Menara Air I, Manggarai T e b e t",631.0,30.0,"Drs. WARNO, M.Si",8304489.0,Padat/Kumuh,A
2.0100747E7,SMP Negeri 34,"Jl. Pademangan Timur VII, Pademangan Timur Pademangan",862.0,41.0,"Drs. Nana Suryana, M.Pd",021-64716137 / 64711045,Baik,A
2.0107182E7,SMP Negeri 35,"Jl.Kayu Manis Gg.Kh.Raiman 71B Condet, Bale Kembang Kramat Jati",1230.0,61.0,"Dra. Wasyati,M.Pd",8004945.0,Baik,A
2.0103584E7,SMP Negeri 36,"Jl. Pedati, Cipinang Cempedak Jatinegara",645.0,33.0,"H. Mohammad Entong, S.Pd",8197363.0,Baik,A
2.0102467E7,SMP Negeri 37,"Jl. Taman Wijaya Kusuma Raya, Pondok Labu Cilandak",834.0,41.0,Drs.Rusdi.M.Pd,021-7695272,Baik,A
2.0100272E7,SMP Negeri 38,"Jl. Karet Pasar Baru Barat I No.14, Karet Tengsin Tanah Abang",664.0,35.0,Luki Viverini,2.15785174E9,Baik,A
2.0106401E7,SMP Negeri 39,"Jl. Gajah Mada No. 3 - 5, Petojo Utara Gambir",550.0,22.0,Drs. Misto,021-63851721,Baik,A
2.0100274E7,SMP Negeri 4,"Jl. Perwira No. 10 Pasar Baru, Pasar Baru Sawah Besar",681.0,34.0,"Drs. ACHMAD JAZULI, M.Pd.",021-3844414,Baik,A
2.0100275E7,SMP Negeri 40 SSN,"Jl. Danau Limboto Pejompongan, Bendungan Hilir Tanah Abang",812.0,38.0,Bambang Kulup Karnoto,5737815.0,Baik,A
2.010248E7,SMP Negeri 41,"Jl. Harsono RM. Ragunan Pasarminggu, Ragunan Pasar Minggu",730.0,40.0,Drs. Afrisyaf Amir M.Pd,7.8838475E7,Baik,A
2.0109503E7,SMP Negeri 41 Terbuka,"Jl. Harsono RM. Ragunan Pasarminggu, Ragunan Pasar Minggu",194.0,26.0,Drs. Afrisyaf Amir M.Pd,7814294.0,Baik,Tidak Terakreditasi
2.0100748E7,SMP Negeri 42,"Jl. Pademangan III, Pademangan Timur Pademangan",651.0,29.0,"Drs. Subardi, M.Pd",6400355.0,Baik,A
2.0102481E7,SMP Negeri 43,"Jl. Kapten P. Tendean No. 11, Mampang Prapatan Mampang Prapatan",632.0,32.0,"Dra. Endang Amirah, MM",7988023.0,Baik,A
2.0103601E7,SMP Negeri 44,"JL. GADING RAYA VII, Pisangan Timur Pulo Gadung",854.0,41.0,"EDY PURWANTO, DRS., S.Pd.",4891725.0,Padat/Kumuh,A
2.0101545E7,SMP Negeri 45,"Jl. Utama Raya No. 45, Cengkareng Barat Cengkareng",790.0,42.0,"LIDIA REFILAWATI, Hj,Dra,M.Pd.",(021) 6191705 / Fax. (021) 54373201,Baik,A
2.0102482E7,SMP Negeri 46,"Jl. Rukun Pejaten Timur, Pejaten Timur Pasar Minggu",402.0,23.0,"RUSTAM, S.Pd",2.17988153E8,Banjir,B
2.0100276E7,SMP Negeri 47,"Jl. Rawasari Timur, Cempaka Putih Timur Cempaka Putih",623.0,35.0,"SUTRISNO, M. Pd",4200349.0,Baik,A
2.0102495E7,SMP Negeri 48,"Jl. Raya Keb. Lama No. 192, Cipulir Kebayoran Lama",825.0,38.0,"FARID MAKRUP, S.Pd",7396648.0,Baik,A
2.0109383E7,SMP Negeri 48 Terbuka,"Jl. Raya Keb. Lama No. 192, Cipulir Kebayoran Lama",140.0,1.0,"FARID MAKRUP, S.Pd",7396648.0,Baik,A
2.0109183E7,SMP Negeri 49,"Jl. Raya Bogor Km. 20, Kramat Jati Kramat Jati",843.0,45.0,"Dra. Sri Sulastri, MM.","0218090200, 02149043250",Baik,A
2.0100277E7,SMP Negeri 5,"Jl. DR. Sutomo No. 5 Pasar Baru, Pasar Baru Sawah Besar",553.0,29.0,"Drs.Destoro, MM",021 - 3844986,Baik,A
2.0103599E7,SMP Negeri 50,"Jl. Nusa I, Kramat Jati Kramat Jati",426.0,24.0,"Dra.Tri Hastuti, MM",8091734.0,Baik,A
2.0103598E7,SMP Negeri 51,"Jl. Kejaksaan Kav. Pd. Bambu, Pondok Bambu Duren Sawit",745.0,39.0,KWATRIN ASKARINI,021-8617042,Baik,A
2.0109154E7,SMP Negeri 51 Terbuka,"Jl. Kejaksaan Kavling, Pondok Bambu Duren Sawit",319.0,24.0,KWATRIN ASKARINI,021-8617042,Baik,A
2.0103597E7,SMP Negeri 52,"Jl. Cipinang Elok, Cipinang Muara Jatinegara",640.0,28.0,SUDARTO,8196452.0,Baik,A
2.0100749E7,SMP Negeri 53,"Jl. Tanah Merdeka 33, Kalibaru Cilincing",843.0,40.0,MUDJIONO,4403082.0,Padat/Kumuh,A
2.0101544E7,SMP Negeri 54,"Jl. Balndongan No.37, Glodok Taman Sari",1066.0,39.0,"Bambang Supriyadi, S.Pd",6398734.0,Padat/Kumuh,A
2.010075E7,SMP Negeri 55,"Jl. Bahari IV A.11, Tanjung Priok Tanjung Priok",820.0,46.0,SINDUNG ERNAWATI,021 - 4373413,Baik,A
2.0109207E7,SMP Negeri 55 Terbuka,"Jl. Bahari IV A.11 Tanjung Priok, Tanjung Priok Tanjung Priok",218.0,1.0,"DRS. NURYAMIN, M.Pd",021 - 4373413,Padat/Kumuh,A
2.0102494E7,SMP Negeri 56,"Jl. Jeruk Purut 1, Cilandak Timur Pasar Minggu",961.0,37.0,"Hj. R. Sri Hartami, S.Pd",021-7803516,Baik,A
2.0102493E7,SMP Negeri 57,"Jl. Halimun No. 2B, Guntur Setia Budi",614.0,28.0,"Dra. Siti Aisyah, MM.",8280960.0,Baik,A
2.0102492E7,SMP Negeri 58,"Jl. Setiabudi Barat 8K, Setia Budi Setia Budi",621.0,26.0,Raden Sapta Nurrochman,5224233/5279992,Baik,A
2.0100278E7,SMP Negeri 59,"Jl. Bendungan Jago No. 40, Serdang Kemayoran",639.0,32.0,"Marjono, S.Pd. M.Si.",4254310.0,Baik,A
2.0103596E7,SMP Negeri 6,"Jl. Bulak Timur I/7 Klender Duren Sawit, Klender Duren Sawit",642.0,34.0,"Djumakir, S.Pd",021-8614103,Baik,B
2.0100279E7,SMP Negeri 60,"Jl. Sangihe No. 26, Cideng Gambir",503.0,24.0,Tri Lestari,6.3863113E7,Baik,A
2.0101543E7,SMP Negeri 61,"Jl. Z.Slipi Dalam, Slipi Palmerah",707.0,45.0,Djumadi Subiantoro,021-5485067,Baik,A
2.0122014E7,SMP Negeri 61 Terbuka,"Jl. Slipi Dalam, Slipi Palmerah",319.0,1.0,"Drs. M. Supardiyono, S.Pd",2.15485067E8,Padat/Kumuh,Tidak Terakreditasi
2.0103595E7,SMP Negeri 62,"Jl. Jatinegara Timur IV, Rawa Bunga Jatinegara",849.0,44.0,"Drs. SUYANTA, MM",8195366.0,Padat/Kumuh,A
2.0122024E7,SMP Negeri 62 Terbuka,"Jl. Jatinegara Timur IV, Rawa Bunga Jatinegara",74.0,5.0,"SUHARTONO, SPd",8195366.0,Padat/Kumuh,A
2.0101542E7,SMP Negeri 63,"Jl. Perniagaan No. 31, Tambora Tambora",611.0,35.0,"H. M. JAMIL, S.Pd",(021)6904630-6916141,Padat/Kumuh,B
2.010028E7,SMP Negeri 64,"Jl. Karang Anyar 11 - 12, Karang Anyar Sawah Besar",553.0,26.0,Drs. Budiyanto,021- 6289762,Padat/Kumuh,B
2.0100751E7,SMP Negeri 65,"Jl. Metro Kencana Raya Sunter, Tanjung Priok Tanjung Priok",881.0,31.0,"Drs. Pua Magharani, M.Pd",6503746.0,Baik,A
2.0102491E7,SMP Negeri 66,"Jl. Masjid Annur Kb. Lama, Grogol Selatan Kebayoran Lama",527.0,26.0,"Brotoyudo, S.Pd",7262921.0,Banjir,A
2.010249E7,SMP Negeri 67,"Jl. Minangkabau Dalam No.3, Menteng Atas Setia Budi",539.0,27.0,Drs. Sukari Suryaningrat,8291525.0,Padat/Kumuh,B
2.0109414E7,SMP Negeri 67 Terbuka,"Jl. Mingkabau Dalam No. 3, Menteng Atas Setia Budi",122.0,17.0,"Drs. Pachrur, MM.",021 829 1525,Baik,B
2.0102489E7,SMP Negeri 68,"Jl. Cipete III No. 4, Cipete Selatan Cilandak",828.0,37.0,"Drs. SUGENG, M.Si",7695722.0,Baik,A
2.0101541E7,SMP Negeri 69,"Jl. Tanjung Duren Timur No. 16, Tanjung Duren Selatan Grogol Petamburan",809.0,35.0,SURYANTORO,5656602.0,Baik,A
2.0103594E7,SMP Negeri 7,"Jl. Balai Rayat Utan Kayu Utara, Utan Kayu Utara Matraman",829.0,36.0,Drs.AGUS KURNIA.M.Pd.,8583817.0,Baik,A
2.0109202E7,SMP Negeri 7 Terbuka,"Jl. Balai Rayat Utan Kayu Utara, Utan Kayu Utara Matraman",128.0,17.0,"Drs.Agus Kurnia,M.Pd",8583817.0,Baik,A
2.0100269E7,SMP Negeri 70,"Jl. H. Awaludin IV, Kebon Melati Tanah Abang",625.0,30.0,"BAHRUDIN, S.Pd.MM.",3102278.0,Baik,A
2.010641E7,SMP Negeri 71,"Jl. Rawasari Timur Komplek Perkantoran No.12, Cempaka Putih Timur Cempaka Putih",559.0,32.0,"ABDUL RASYID,M.Pd",4213554.0,Baik,A
2.0100267E7,SMP Negeri 72,"Jl. Petojo Binatu No. 2, Petojo Utara Gambir",421.0,18.0,Drs.HENDRA SUKMANA,021-6327871,Baik,B
2.0102488E7,SMP Negeri 73,"Jl. Tebet Timur IIA No. 1, Tebet Timur T e b e t",922.0,42.0,Drs H Sukirman.M.Pd,8295378.0,Baik,A
2.0103593E7,SMP Negeri 74,"Jl. Pemuda No.6 dan Jl.Mustika Jaya, Rawamangun Pulo Gadung",848.0,46.0,"Juhana, S.Pd, MM.Pd",4892521.0,Baik,A
2.010154E7,SMP Negeri 75 SSN,"Jl. Raya Kebon Jeruk No.19, Kebon Jeruk Kebon Jeruk",658.0,33.0,"Drs. Mas'ud Jamaluddin, MM",2.15483496E8,Baik,A
2.0100256E7,SMP Negeri 76,"Jl. Percetakan Negara II, Johar Baru Johar Baru",639.0,29.0,"Drs. Darma Maha, M.Si",4248479.0,Baik,A
2.0100257E7,SMP Negeri 77,"Jl. Cemp. Putih Tengah XVIII, Cempaka Putih Timur Cempaka Putih",637.0,37.0,CHELLY IMAN SETIANE,4245377.0,Banjir,A
2.0100258E7,SMP Negeri 78,"Jl. Perunggu No. 56, Harapan Mulia Kemayoran",529.0,27.0,"TRI AKAD SANTOSA, S.Pd.",6.2214240289E10,Baik,A
2.0100259E7,SMP Negeri 79,"Jl. Dakota Raya Kemayoran Gempol Galindra, Kebon Kosong Kemayoran",784.0,37.0,Drs. SAYUTI,021-4208740,Baik,B
2.0122001E7,SMP Negeri 79 Terbuka,"Jl. Dakota Raya, Kebon Kosong Kemayoran",167.0,9.0,Drs. SAYUTI,(021) 4208740,Baik,Tidak Terakreditasi
2.010026E7,SMP Negeri 8,"Jl. Pegangsaan Barat No. 1, Menteng Menteng",684.0,35.0,Azril Rusdi,3145570.0,Baik,A
2.0103592E7,SMP Negeri 80,"Jl. Kayatun Kayatun Trikora Halim. P, Halim Perdana Kusumah Makasar",946.0,46.0,"Drs. H. SOEHAR YATMO, MM",8090092.0,Baik,A
2.0103591E7,SMP Negeri 81,"Jl. Monumen Pancasila, Lubang Buaya Cipayung",1003.0,55.0,"Drs. H. Ahmad Sanusi, M.Si",8408656.0,Baik,A
2.0101539E7,SMP Negeri 82,"Jl. Komp. BDN Pesing, Wijaya Kusuma Grogol Petamburan",810.0,43.0,"Sugandi, SE.,M.Pd.",5667126.0,Banjir,A
2.0101538E7,SMP Negeri 83,"Jl. Empang Bahagia, Jelambar Grogol Petamburan",619.0,36.0,SURATNO,5672648.0,Baik,A
2.0100752E7,SMP Negeri 84,"Jl. Kramat Jaya Blok R Gang VIII No.60, Lagoa K o j a",657.0,30.0,"SUKIRNO, S.Pd, MM.Pd",021- 44830557,Baik,A
2.0100755E7,SMP Negeri 84 Terbuka,"Jl. Semangka No.1, Lagoa K o j a",476.0,18.0,"SUKIRNO, S.Pd, M.MPd",021-43930708,Baik,B
2.0102487E7,SMP Negeri 85,"Jl. Margasatwa No. 8, Pondok Labu Cilandak",848.0,43.0,"DRA. YULMA, M.PD",7657652.0,Baik,A
2.0102486E7,SMP Negeri 86,"Jl. RS. Fatmawati Komp. BNI, Cilandak Barat Cilandak",760.0,35.0,"SUMARDI, S.Pd, MM",7513818.0,Baik,A
2.0109388E7,SMP Negeri 86 Terbuka,"Jl. RS. Fatmawati Komp. BNI, Cilandak Barat Cilandak",49.0,15.0,"Hj. Sulastri, M.Pd",7513818.0,Baik,A
2.0102485E7,SMP Negeri 87,"Jl. Ciputat Raya Pond. Pinang, Pondok Pinang Kebayoran Lama",638.0,31.0,"Hj. Neneng Junaisih, S.Pd",7657687.0,Baik,A
2.0101537E7,SMP Negeri 88,"Jl. Anggrek Garuda Slipi, Kemanggisan Palmerah",828.0,41.0,"Drs. Yusron, M.Pd.",5480779.0,Baik,A
2.0101522E7,SMP Negeri 89,"Jl. Tanjung Duren Barat IV, Tanjung Duren Utara Grogol Petamburan",878.0,43.0,"Dra.Nurul Huda,M.Si","5672531, 56964483",Baik,A
2.010359E7,SMP Negeri 9,"Jl. Usman No.6 Kelapa Dua Wetan, Kelapa Dua Wetan Ciracas",863.0,44.0,"Pudji Rahayu, M. Pd",8719966.0,Baik,A
2.0103589E7,SMP Negeri 90,"Jl. Raya Bekasi Km. 18, Jatinegara Cakung",777.0,42.0,"Agus Mulyono, S.Pd",4603764.0,Padat/Kumuh,B
2.0103588E7,SMP Negeri 91,"Jl. Raya Bogor Km. 28 Pekayon, Pekayon Pasar Rebo",547.0,28.0,"H. Imam Rosidi, S.Pd, M.Pd",8718877.0,Baik,A
2.0103587E7,SMP Negeri 92,"Jl. Perhubungan XII Rawamangun, Jati Pulo Gadung",735.0,40.0,Drs. BAMBANG PRIAWAN,4713051.0,Baik,A
2.0100261E7,SMP Negeri 93,"Jl. Gunung Sahari Raya No. 81, Gunung Sahari Selatan Kemayoran",603.0,25.0,Drs. Tua Sitanggang,4247349.0,Padat/Kumuh,A
2.0100262E7,SMP Negeri 94,"Jl. Tanah Abang V/29, Petojo Selatan Gambir",461.0,20.0,"Dra. Hj. Latifah, M.Pd.",3805680.0,Baik,A
2.012203E7,SMP Negeri 95,"Jl. Ganggeng III No. 3, Sungai Bambu Tanjung Priok",140.0,36.0,Drs.MOCH.YUSUP EFFENDI,4353273.0,Baik,A
2.0109118E7,SMP Negeri 95 Terbuka,"Jl. Ganggeng III No. 3, Sungai Bambu Tanjung Priok",,8.0,"ROMUALDUS LADO,SH.MM",4353273.0,Baik,A
2.0102484E7,SMP Negeri 96,"Jl. Margasatwa Komplek Timah Pondok Labu, Pondok Labu Cilandak",641.0,35.0,BUDI PURNOMO,2.17658121E8,Baik,A
2.0103586E7,SMP Negeri 97,"Jl. Galur Sari Raya, Utan Kayu Selatan Matraman",831.0,37.0,TRIYONO BHAKTI,021-8196209,Baik,A
