kodifikasi,nama,lokasi,kotamadya,kecamatan,kelurahan,luas,jenis
12010064,Taman Interaktif Joglo Blok F,    , Jakarta Barat , Kembangan , Joglo ,700, Taman Interaktif 
12010023,Taman Interaktif Jl.MT.Haryono No 21 RT 006 RW 004,    , Jakarta Barat , Palmerah , Kota Bambu Selatan ,262, Taman Interaktif 
12010051,Taman interaktif Jl. D RT 005 RW 005,    , Jakarta Barat , Palmerah , Kota Bambu Utara ,648, Taman Interaktif 
12010057,Taman interaktif Gg. Bahagia No.30 RT 011 RW 009,    , Jakarta Barat , Palmerah , Palmerah ,610, Taman Interaktif 
12010049,Taman Interaktif Swakarya Ujung RT 009 RW 017,    , Jakarta Barat , Palmerah , Palmerah ,300, Taman Interaktif 
12010012,Taman interaktif Jl. Kesederhanaan No.20A,    , Jakarta Barat , Taman Sari , Keagungan ,200, Taman Interaktif 
12010011,Taman interaktif Jl. Keadilan Dalam II RT 004 RW 002,    , Jakarta Barat , Taman Sari , Taman Sari ,300, Taman Interaktif 
12010004,Taman Kalista Utara, Gg. Kalista Utara , Jakarta Pusat , Johar Baru , Galur ,200, Taman Interaktif 
12010039,Taman interaktif Jl. Perc.Negara II Gg UU,    , Jakarta Pusat , Johar Baru , Johar Baru ,215, Taman Interaktif 
12010021,Taman Rawa Tengah RW 007, Jl. Rawa Tengah RW 007 , Jakarta Pusat , Johar Baru , Kampung Rawa ,300, Taman Interaktif 
12010019,"Taman interaktif Jl. Rawa Selatan II RW 004,",    , Jakarta Pusat , Johar Baru , Kampung Rawa ,461, Taman Interaktif 
12010062,Taman Rawa Tengah I, Jl. Rawa Tengah I , Jakarta Pusat , Johar Baru , Kampung Rawa ,531, Taman Interaktif 
12010082,"Taman Interaktif Jl.Rawa Selatan II RW 004,",    , Jakarta Pusat , Johar Baru , Kampung Rawa ,461, Taman Interaktif 
12010020,"Taman interaktif Jl. Rawa Selatan II RW 005,",    , Jakarta Pusat , Johar Baru , Kampung Rawa ,276, Taman Interaktif 
12010018,"Taman interaktif Jl. Rawa Sawah I RW 003,",    , Jakarta Pusat , Johar Baru , Kampung Rawa ,310, Taman Interaktif 
12010088,Taman Interaktif Jl.Hati Suci,    , Jakarta Pusat , Kali Deres , Kampung Bali ,212, Taman Interaktif 
12010050,Taman interaktif Jl. Cempaka Baru Barat Gg.Rela RT 009 RW 007,    , Jakarta Pusat , Kemayoran , -   ,720, Taman Interaktif 
12010007,Taman interaktif Jl. Cempaka Sari V RT 012 RW 008,    , Jakarta Pusat , Kemayoran , -   ,212, Taman Interaktif 
12010035,Taman interaktif Gg. Mantri IV,    , Jakarta Pusat , Kemayoran , Kemayoran ,346, Taman Interaktif 
12010022,Taman interaktif Jl. Taruna XXIII RW 005,    , Jakarta Pusat , Kemayoran , Serdang ,400, Taman Interaktif 
12010090,Taman Interaktif Jl.Krida III Rt 009/01,    , Jakarta Pusat , Kemayoran , Serdang ,531, Taman Interaktif 
12010053,Taman interaktif Jl. Kalibaru Timur Gg. 7 No. 24 B,    , Jakarta Pusat , Senen , Bungur ,298, Taman Interaktif 
12010013,"Taman interaktif Jl. Kramat Lontar III RW 001,",    , Jakarta Pusat , Senen , Paseban ,210, Taman Interaktif 
12010010,Taman interaktif Jl. Kampung Bali IX RW 009,    , Jakarta Pusat , Tanah Abang , Kampung Bali ,240, Taman Interaktif 
12010083,Taman Interaktif Sgt.Kampung Bali,    , Jakarta Pusat , Tanah Abang , Kampung Bali ,377, Taman Interaktif 
12010093,Taman Interaktif Jl. Poncol II,    , Jakarta Selatan , Cilandak , Gandaria Selatan ,891, Taman Interaktif 
12010073,Taman Interaktif Karang Tengah,    , Jakarta Selatan , Cilandak , Lebak Bulus ,28231, Taman Interaktif 
12010046,Taman Interaktif RT 006 RW 002,    , Jakarta Selatan , Cilandak , Pondok Labu ,631, Taman Interaktif 
12010074,Taman Interaktif Moh.Kahfi I, Jl. Moh.Kahfi I , Jakarta Selatan , Jagakarsa , Ciganjur ,9629, Taman Interaktif 
12010081,Taman Interaktif Jl. Moh.Kahfi I RT 010 RW 002,    , Jakarta Selatan , Jagakarsa , Ciganjur ,6305, Taman Interaktif 
12010077,Taman Interaktif Jl. Jagakarsa Raya (Jl.Moh.Kahfi RT 001/RW 002),    , Jakarta Selatan , Jagakarsa , Jagakarsa ,924, Taman Interaktif 
12010042,Taman Interaktif Jl.Pluis,    , Jakarta Selatan , Kebayoran Baru , Grogol Utara ,185, Taman Interaktif 
12010066,Taman interaktif Jl. Peninggaran I,    , Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Utara ,530, Taman Interaktif 
12010041,Taman Interaktif Jl.Peninggaran,    , Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Utara ,253, Taman Interaktif 
12010087,Taman Interaktif Jl.Delman Elok VI Ujung Rt 004/011,    , Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Utara ,3101, Taman Interaktif 
12010063,Taman Interaktif Jl.Delman Elok VI Ujung RT 004 RW 006,    , Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Utara ,1099, Taman Interaktif 
12010058,Taman Interaktif Gg.Jati RT 009 RW 001,    , Jakarta Selatan , Mampang Prapatan , Mampang Prapatan ,854, Taman Interaktif 
12010079,Taman Interaktif Jl. Kebagusan Dalam I,    , Jakarta Selatan , Pasar Minggu , Kebagusan ,16212, Taman Interaktif 
12010024,Taman Interaktif Jl.Pejaten Timur,    , Jakarta Selatan , Pasar Minggu , Pejaten Timur ,600, Taman Interaktif 
12010047,Taman Interaktif RT 006 RW 009,    , Jakarta Selatan , Pesanggrahan , Bintaro ,485, Taman Interaktif 
12010008,Taman Interaktif Jl. H. Lahab RT 008 RW 003,    , Jakarta Selatan , Pesanggrahan , Petukangan Selatan ,350, Taman Interaktif 
12010029,Taman Interaktif Pocong Manggis ( Wadas tengah ),    , Jakarta Selatan , Setia Budi , Kebon Manggis ,329, Taman Interaktif 
12010026,Taman interaktif,    , Jakarta Selatan , Setia Budi , Menteng Atas ,563, Taman Interaktif 
12010033,Taman Interaktif Tebet,    , Jakarta Selatan , Tebet , Manggarai Selatan ,341, Taman Interaktif 
